Comprehensive Master Database of 500+ Indian Government Schemes,,,,,,,,
"Extensive multi-state and central registry tracking eligibility parameters, income brackets, required documentation, and application prerequisites.",,,,,,,,
,,,,,,,,
Scheme Name,"Scheme Type
(Central/State)",State / UT Name,Eligible Gender,Eligible Age Group,Eligible Income / Salary Range,Eligible Occupation / Category,Required Application Documents,Essential / Critical Prerequisites
Krishi Yuva Nidhi Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Yuva Nidhi Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Yuva Nidhi Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Yuva Nidhi Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Gruha Lakshmi Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Gruha Lakshmi Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Gruha Lakshmi Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Gruha Lakshmi Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Gruha Lakshmi Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Gruha Lakshmi Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Lakshmir Bhandar Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Lakshmir Bhandar Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Lakshmir Bhandar Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Lakshmir Bhandar Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Lakshmir Bhandar Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Lakshmir Bhandar Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Pudhumai Penn Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Pudhumai Penn Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Pudhumai Penn Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Pudhumai Penn Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Pudhumai Penn Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Pudhumai Penn Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Kalaignar Magalir Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Kalaignar Magalir Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Kalaignar Magalir Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Kalaignar Magalir Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Kalaignar Magalir Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Kalaignar Magalir Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Chiranjeevi Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Chiranjeevi Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Chiranjeevi Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Chiranjeevi Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Chiranjeevi Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Chiranjeevi Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Amrutam Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Amrutam Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Amrutam Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Amrutam Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Amrutam Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Amrutam Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Anuprati Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Anuprati Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Anuprati Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Anuprati Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Anuprati Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Anuprati Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Sumangala Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Sumangala Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Sumangala Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Sumangala Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Sumangala Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Sumangala Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Kanyashree Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Kanyashree Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Kanyashree Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Kanyashree Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Kanyashree Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Kanyashree Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Sanjay Gandhi Niradhar Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Sanjay Gandhi Niradhar Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Sanjay Gandhi Niradhar Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Sanjay Gandhi Niradhar Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Sanjay Gandhi Niradhar Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Sanjay Gandhi Niradhar Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Vayoshri Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Vayoshri Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Vayoshri Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Vayoshri Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Vayoshri Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Vayoshri Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Raihtu Bandhu Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Raihtu Bandhu Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Raihtu Bandhu Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Raihtu Bandhu Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Raihtu Bandhu Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Raihtu Bandhu Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Amma Vodi Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Amma Vodi Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Amma Vodi Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Amma Vodi Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Amma Vodi Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Amma Vodi Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Jagananna Vidya Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Jagananna Vidya Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Jagananna Vidya Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Jagananna Vidya Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Jagananna Vidya Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Jagananna Vidya Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Kalyana Lakshmi Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Kalyana Lakshmi Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Kalyana Lakshmi Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Kalyana Lakshmi Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Kalyana Lakshmi Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Kalyana Lakshmi Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Shaadi Mubarak Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Shaadi Mubarak Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Shaadi Mubarak Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Shaadi Mubarak Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Shaadi Mubarak Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Shaadi Mubarak Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Biju Swasthya Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Biju Swasthya Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Biju Swasthya Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Biju Swasthya Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Biju Swasthya Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
